File,Py==SimpleITK,Py==MONAI,SimpleITK==MONAI,Py_MONAI_RMSE,Py_SITK_RMSE,SITK_MONAI_RMSE,Py_MONAI_MaxError,Py_SITK_MaxError,SITK_MONAI_MaxError,Py_MONAI_DifferentPixels,Py_SITK_DifferentPixels,SITK_MONAI_DifferentPixels
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\AIIMS\AIIMSJ_GE_Vivid_E95\Q3EDC380.dcm,False,,,,91.79278050843287,,,238.0,,,207166236.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\AIIMS\AIIMSJ_GE_Vivid_E95\Q3EDCA02.dcm,False,,,,91.79277840161821,,,238.0,,,207165985.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\AIIMS\AIIMSJ_GE_Vivid_E95\Q3EDCBG4.dcm,False,,,,86.95972915659755,,,238.0,,,384563199.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\AIIMS\AIIMSJ_GE_Vivid_E95\Q3EDCH86.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\AIIMS\AIIMSJ_GE_Vivid_E95\Q3EDCK08.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\AIIMS\AIIMSJ_Philips_EPIQ_7C\IM_0001.dcm,False,,,,96.68704726921351,,,179.0,,,112724380.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\AIIMS\AIIMSJ_Philips_EPIQ_7C\IM_0002.dcm,False,,,,99.23026021791689,,,179.0,,,114660183.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Enhanced_US_Volume_Storage\usvolume_4D.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\US-GE-4AICL142.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\US.1.3.46.670589.14.3000.100.2.199999.20110826084400.0.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\US.1.3.46.670589.14.3000.100.2.199999.20110826084428.0.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\US.1.3.46.670589.14.3000.100.2.199999.20110826084457.0.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\US.1.3.46.670589.14.3000.100.2.199999.20110826084523.0.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\US.1.3.46.670589.14.3000.100.2.199999.20110826084559.0.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\US.1.3.46.670589.14.3000.100.2.199999.20110826084627.0.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\US.1.3.46.670589.14.3000.100.2.199999.20110826084654.0.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\US.1.3.46.670589.14.3000.100.2.199999.20110826084725.0.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\US.1.3.46.670589.14.3000.100.2.199999.20110826084753.0.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\US.1.3.46.670589.14.3000.100.2.199999.20110826084825.0.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\US.1.3.46.670589.14.3000.100.2.199999.20110826084853.0.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\US.1.3.46.670589.14.3000.100.2.199999.20110826084940.0.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\US.1.3.46.670589.14.3000.100.2.199999.20110826085516.0.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\us_kretz.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\us_kretz2.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Image_Storage\us_valid_pixel_aspect.dcm,,,,,,,,,,,,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Multiframe_Image_Storage\055829-00000000.dcm,False,,,,94.54044859104712,,,187.0,,,281545929.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Multiframe_Image_Storage\us_acuson.dcm,False,,,,91.95633750192654,,,216.0,,,16005761.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Multiframe_Image_Storage\us_acuson2.dcm,False,,,,88.75598113171661,,,171.0,,,34684719.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\Aliza\Ultrasound_Multiframe_Image_Storage\us_rle_ybr.dcm,False,,,,101.07733494725503,,,255.0,,,4069562.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-001\90478\23771\8c780494-786d-4ed7-b2a0-24fe18bd8dce.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-001\90478\64615\bf1b0a44-60ca-4d20-a6e2-dde3ae34ea53.dcm,True,,,,0.0,,,0.0,,,0.0,
C:\Users\Gajendra\Desktop\D3_MONAI\Datasets\ReMIND\remind\ReMIND-001\90478\88762\91d91920-3d47-4a81-8a45-3fa9fdb2b70a.dcm,True,,,,0.0,,,0.0,,,0.0,
