filename,dataset,comparison_status,manufacturer,manufacturer_model,sop_class,transfer_syntax,photometric,n_frames,doppler_candidate,evidence,raw_array_shape,monai_shape_CHW,acquisition_type,monai_ready,spp_validation,root_cause
Q3EDC380.dcm,AIIMS,both_ok,GE Vingmed Ultrasound,Vivid E95,Ultrasound Multi-frame Image Storage,JPEG Baseline (Process 1),YBR_FULL_422,126,True,PhotometricInterpretation=YBR_FULL_422 with SamplesPerPixel=3,126x708x1016x3,"(3, 126, 708, 1016)","Multi-frame, multi-channel (C last in array)",True,Channel count validated against SamplesPerPixel=3,Both tools read the file successfully. No issues detected.
Q3EDCA02.dcm,AIIMS,both_ok,GE Vingmed Ultrasound,Vivid E95,Ultrasound Multi-frame Image Storage,JPEG Baseline (Process 1),YBR_FULL_422,126,True,PhotometricInterpretation=YBR_FULL_422 with SamplesPerPixel=3,126x708x1016x3,"(3, 126, 708, 1016)","Multi-frame, multi-channel (C last in array)",True,Channel count validated against SamplesPerPixel=3,Both tools read the file successfully. No issues detected.
Q3EDCBG4.dcm,AIIMS,both_ok,GE Vingmed Ultrasound,Vivid E95,Ultrasound Multi-frame Image Storage,JPEG Baseline (Process 1),YBR_FULL_422,230,True,PhotometricInterpretation=YBR_FULL_422 with SamplesPerPixel=3,230x708x1016x3,"(3, 230, 708, 1016)","Multi-frame, multi-channel (C last in array)",True,Channel count validated against SamplesPerPixel=3,Both tools read the file successfully. No issues detected.
Q3EDCH86.dcm,AIIMS,both_ok,GE Vingmed Ultrasound,Vivid E95,Ultrasound Image Storage,JPEG Baseline (Process 1),YBR_FULL_422,,True,PhotometricInterpretation=YBR_FULL_422 with SamplesPerPixel=3,708x1016x3,"(3, 708, 1016)","2D single-frame, multi-channel (C last in array)",True,Channel count validated against SamplesPerPixel=3,Both tools read the file successfully. No issues detected.
Q3EDCK08.dcm,AIIMS,both_ok,GE Vingmed Ultrasound,Vivid E95,Ultrasound Image Storage,JPEG Baseline (Process 1),YBR_FULL_422,,True,PhotometricInterpretation=YBR_FULL_422 with SamplesPerPixel=3,708x1016x3,"(3, 708, 1016)","2D single-frame, multi-channel (C last in array)",True,Channel count validated against SamplesPerPixel=3,Both tools read the file successfully. No issues detected.
IM_0001.dcm,AIIMS,both_ok,Philips Medical Systems,EPIQ 7C,Ultrasound Multi-frame Image Storage,JPEG Baseline (Process 1),YBR_FULL_422,117,True,PhotometricInterpretation=YBR_FULL_422 with SamplesPerPixel=3,117x600x800x3,"(3, 117, 600, 800)","Multi-frame, multi-channel (C last in array)",True,Channel count validated against SamplesPerPixel=3,Both tools read the file successfully. No issues detected.
IM_0002.dcm,AIIMS,both_ok,Philips Medical Systems,EPIQ 7C,Ultrasound Multi-frame Image Storage,JPEG Baseline (Process 1),YBR_FULL_422,119,True,PhotometricInterpretation=YBR_FULL_422 with SamplesPerPixel=3,119x600x800x3,"(3, 119, 600, 800)","Multi-frame, multi-channel (C last in array)",True,Channel count validated against SamplesPerPixel=3,Both tools read the file successfully. No issues detected.
usvolume_4D.dcm,Aliza,both_ok,GE Healthcare,LOGIQE9,Enhanced US Volume Storage,JPEG Baseline (Process 1),MONOCHROME2,3600,False,no validated evidence,3600x157x187,"(1, 3600, 157, 187)","3D volume or multi-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
US-GE-4AICL142.dcm,Aliza,both_ok,GE Vingmed Ultrasound,Vivid7,Ultrasound Image Storage,JPEG Baseline (Process 1),YBR_FULL_422,,True,UltrasoundColorDataPresent=1 (explicit DICOM tag) | PhotometricInterpretation=YBR_FULL_422 with SamplesPerPixel=3,434x636x3,"(3, 434, 636)","2D single-frame, multi-channel (C last in array)",True,Channel count validated against SamplesPerPixel=3,Both tools read the file successfully. No issues detected.
US.1.3.46.670589.14.3000.100.2.199999.20110826084400.0.dcm,Aliza,both_ok,Philips Medical Systems,Sparq,Ultrasound Image Storage,RLE Lossless,PALETTE COLOR,,True,UltrasoundColorDataPresent=1 (explicit DICOM tag) | PhotometricInterpretation=PALETTE COLOR with SamplesPerPixel=1,600x800,"(1, 600, 800)","2D single-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
US.1.3.46.670589.14.3000.100.2.199999.20110826084428.0.dcm,Aliza,both_ok,Philips Medical Systems,Sparq,Ultrasound Image Storage,RLE Lossless,PALETTE COLOR,,True,UltrasoundColorDataPresent=1 (explicit DICOM tag) | PhotometricInterpretation=PALETTE COLOR with SamplesPerPixel=1,600x800,"(1, 600, 800)","2D single-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
US.1.3.46.670589.14.3000.100.2.199999.20110826084457.0.dcm,Aliza,both_ok,Philips Medical Systems,Sparq,Ultrasound Image Storage,RLE Lossless,PALETTE COLOR,,True,UltrasoundColorDataPresent=1 (explicit DICOM tag) | PhotometricInterpretation=PALETTE COLOR with SamplesPerPixel=1,600x800,"(1, 600, 800)","2D single-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
US.1.3.46.670589.14.3000.100.2.199999.20110826084523.0.dcm,Aliza,both_ok,Philips Medical Systems,Sparq,Ultrasound Image Storage,RLE Lossless,PALETTE COLOR,,True,UltrasoundColorDataPresent=1 (explicit DICOM tag) | PhotometricInterpretation=PALETTE COLOR with SamplesPerPixel=1,600x800,"(1, 600, 800)","2D single-frame, 1 channel",True,"SamplesPerPixel=1; last array dim may be frames, not channels",Both tools read the file successfully. No issues detected.
